hand,hand_idx,suited,connectedness,pair,high_card,low_card,rank_diff,hand_type,ace,broadway,low_pair,medium_pair,high_pair,broadway_score,suited_broadway,suited_broadway_score,connector,one_gap,two_gap,suited_connector,suited_one_gap,suited_two_gap,connectedness_score,rank_diff_score,high_card_score,low_card_score,suited_connected_score
95o,55,0,4,0,7,3,4,offsuit,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.6363636363636364,0.6666666666666666,0.5833333333333334,0.25,0.0
95s,56,1,4,0,7,3,4,suited,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.6363636363636364,0.6666666666666666,0.5833333333333334,0.25,0.6363636363636364
96o,57,0,3,0,7,4,3,offsuit,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0.7272727272727273,0.75,0.5833333333333334,0.3333333333333333,0.0
96s,58,1,3,0,7,4,3,suited,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,1,0.7272727272727273,0.75,0.5833333333333334,0.3333333333333333,0.7272727272727273
97o,59,0,2,0,7,5,2,offsuit,0,0,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0.8181818181818182,0.8333333333333334,0.5833333333333334,0.4166666666666667,0.0
97s,60,1,2,0,7,5,2,suited,0,0,0,0,0,0.0,0,0.0,0,1,0,0,1,0,0.8181818181818182,0.8333333333333334,0.5833333333333334,0.4166666666666667,0.8181818181818182
98o,61,0,1,0,7,6,1,offsuit,0,0,0,0,0,0.0,0,0.0,1,0,0,0,0,0,0.9090909090909091,0.9166666666666666,0.5833333333333334,0.5,0.0
98s,62,1,1,0,7,6,1,suited,0,0,0,0,0,0.0,0,0.0,1,0,0,1,0,0,0.9090909090909091,0.9166666666666666,0.5833333333333334,0.5,0.9090909090909091
99o,63,0,0,1,7,7,0,pair,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0,1.0,1.0,0.5833333333333334,0.5833333333333334,0.0
A2o,64,0,1,0,12,0,12,offsuit,1,1,0,0,0,0.5,0,0.0,1,0,0,0,0,0,0.9090909090909091,0.0,1.0,0.0,0.0
A2s,65,1,1,0,12,0,12,suited,1,1,0,0,0,0.5,1,0.5,1,0,0,1,0,0,0.9090909090909091,0.0,1.0,0.0,0.9090909090909091
A3o,66,0,2,0,12,1,11,offsuit,1,1,0,0,0,0.5,0,0.0,0,1,0,0,0,0,0.8181818181818182,0.08333333333333333,1.0,0.08333333333333333,0.0
A3s,67,1,2,0,12,1,11,suited,1,1,0,0,0,0.5,1,0.5,0,1,0,0,1,0,0.8181818181818182,0.08333333333333333,1.0,0.08333333333333333,0.8181818181818182
A4o,68,0,3,0,12,2,10,offsuit,1,1,0,0,0,0.5,0,0.0,0,0,1,0,0,0,0.7272727272727273,0.16666666666666666,1.0,0.16666666666666666,0.0
A4s,69,1,3,0,12,2,10,suited,1,1,0,0,0,0.5,1,0.5,0,0,1,0,0,1,0.7272727272727273,0.16666666666666666,1.0,0.16666666666666666,0.7272727272727273
A5o,70,0,4,0,12,3,9,offsuit,1,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.6363636363636364,0.25,1.0,0.25,0.0
A5s,71,1,4,0,12,3,9,suited,1,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.6363636363636364,0.25,1.0,0.25,0.6363636363636364
A6o,72,0,5,0,12,4,8,offsuit,1,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.5454545454545454,0.3333333333333333,1.0,0.3333333333333333,0.0
A6s,73,1,5,0,12,4,8,suited,1,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.5454545454545454,0.3333333333333333,1.0,0.3333333333333333,0.5454545454545454
A7o,74,0,6,0,12,5,7,offsuit,1,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.45454545454545453,0.4166666666666667,1.0,0.4166666666666667,0.0
A7s,75,1,6,0,12,5,7,suited,1,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.45454545454545453,0.4166666666666667,1.0,0.4166666666666667,0.45454545454545453
A8o,76,0,6,0,12,6,6,offsuit,1,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.45454545454545453,0.5,1.0,0.5,0.0
A8s,77,1,6,0,12,6,6,suited,1,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.45454545454545453,0.5,1.0,0.5,0.45454545454545453
A9o,78,0,5,0,12,7,5,offsuit,1,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.5454545454545454,0.5833333333333334,1.0,0.5833333333333334,0.0
A9s,79,1,5,0,12,7,5,suited,1,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.5454545454545454,0.5833333333333334,1.0,0.5833333333333334,0.5454545454545454
AAo,80,0,0,1,12,12,0,pair,1,2,0,0,1,1.0,0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0
AJo,81,0,3,0,12,9,3,offsuit,1,2,0,0,0,1.0,0,0.0,0,0,1,0,0,0,0.7272727272727273,0.75,1.0,0.75,0.0
AJs,82,1,3,0,12,9,3,suited,1,2,0,0,0,1.0,2,1.0,0,0,1,0,0,1,0.7272727272727273,0.75,1.0,0.75,0.7272727272727273
AKo,83,0,1,0,12,11,1,offsuit,1,2,0,0,0,1.0,0,0.0,1,0,0,0,0,0,0.9090909090909091,0.9166666666666666,1.0,0.9166666666666666,0.0
AKs,84,1,1,0,12,11,1,suited,1,2,0,0,0,1.0,2,1.0,1,0,0,1,0,0,0.9090909090909091,0.9166666666666666,1.0,0.9166666666666666,0.9090909090909091
AQo,85,0,2,0,12,10,2,offsuit,1,2,0,0,0,1.0,0,0.0,0,1,0,0,0,0,0.8181818181818182,0.8333333333333334,1.0,0.8333333333333334,0.0
AQs,86,1,2,0,12,10,2,suited,1,2,0,0,0,1.0,2,1.0,0,1,0,0,1,0,0.8181818181818182,0.8333333333333334,1.0,0.8333333333333334,0.8181818181818182
ATo,87,0,4,0,12,8,4,offsuit,1,2,0,0,0,1.0,0,0.0,0,0,0,0,0,0,0.6363636363636364,0.6666666666666666,1.0,0.6666666666666666,0.0
ATs,88,1,4,0,12,8,4,suited,1,2,0,0,0,1.0,2,1.0,0,0,0,0,0,0,0.6363636363636364,0.6666666666666666,1.0,0.6666666666666666,0.6363636363636364
J2o,89,0,9,0,9,0,9,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.18181818181818182,0.25,0.75,0.0,0.0
J2s,90,1,9,0,9,0,9,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.18181818181818182,0.25,0.75,0.0,0.18181818181818182
J3o,91,0,8,0,9,1,8,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.2727272727272727,0.3333333333333333,0.75,0.08333333333333333,0.0
J3s,92,1,8,0,9,1,8,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.2727272727272727,0.3333333333333333,0.75,0.08333333333333333,0.2727272727272727
J4o,93,0,7,0,9,2,7,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.36363636363636365,0.4166666666666667,0.75,0.16666666666666666,0.0
J4s,94,1,7,0,9,2,7,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.36363636363636365,0.4166666666666667,0.75,0.16666666666666666,0.36363636363636365
J5o,95,0,6,0,9,3,6,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.45454545454545453,0.5,0.75,0.25,0.0
J5s,96,1,6,0,9,3,6,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.45454545454545453,0.5,0.75,0.25,0.45454545454545453
J6o,97,0,5,0,9,4,5,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.5454545454545454,0.5833333333333334,0.75,0.3333333333333333,0.0
J6s,98,1,5,0,9,4,5,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.5454545454545454,0.5833333333333334,0.75,0.3333333333333333,0.5454545454545454
J7o,99,0,4,0,9,5,4,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,0,0,0,0,0.6363636363636364,0.6666666666666666,0.75,0.4166666666666667,0.0
J7s,100,1,4,0,9,5,4,suited,0,1,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.6363636363636364,0.6666666666666666,0.75,0.4166666666666667,0.6363636363636364
J8o,101,0,3,0,9,6,3,offsuit,0,1,0,0,0,0.5,0,0.0,0,0,1,0,0,0,0.7272727272727273,0.75,0.75,0.5,0.0
J8s,102,1,3,0,9,6,3,suited,0,1,0,0,0,0.5,1,0.5,0,0,1,0,0,1,0.7272727272727273,0.75,0.75,0.5,0.7272727272727273
