hand,dominates_count,combos_dominated,blocks_count,combos_blocked,blocked_by_count,combos_blocked_by_count,dominated_by_count,combos_dominated_by_count,dom_ratio,block_ratio,dom_block_ratio,block_ratio_cat,dom_block_pc1,dom_block_pc2
62s,6.0,48.0,47.0,100.0,47.0,50.0,39.0,156.0,0.3076923076923077,2.0,0.96,2,1.6795251406966865,-1.4833275862130308
A5o,28.0,224.0,48.0,100.0,48.0,154.0,17.0,204.0,1.0980392156862746,0.6493506493506493,1.4545454545454546,0,-0.05146156683835524,1.222557540479501
K5o,26.0,208.0,48.0,100.0,48.0,154.0,19.0,228.0,0.9122807017543859,0.6493506493506493,1.3506493506493507,0,0.2641911091755209,1.033355046022447
Q5o,24.0,192.0,48.0,100.0,48.0,154.0,21.0,252.0,0.7619047619047619,0.6493506493506493,1.2467532467532467,0,0.5798437851893973,0.8441525515653935
J5o,22.0,176.0,48.0,100.0,48.0,154.0,23.0,276.0,0.6376811594202898,0.6493506493506493,1.1428571428571428,0,0.8954964612032734,0.6549500571083399
T5o,20.0,160.0,48.0,100.0,48.0,154.0,25.0,300.0,0.5333333333333333,0.6493506493506493,1.0389610389610389,0,1.2111491372171495,0.46574756265128614
95o,18.0,144.0,48.0,100.0,48.0,154.0,27.0,324.0,0.4444444444444444,0.6493506493506493,0.935064935064935,0,1.526801813231026,0.27654506819423236
85o,16.0,128.0,48.0,100.0,48.0,154.0,29.0,348.0,0.367816091954023,0.6493506493506493,0.8311688311688312,0,1.842454489244902,0.0873425737371787
75o,14.0,112.0,48.0,100.0,48.0,154.0,31.0,372.0,0.3010752688172043,0.6493506493506493,0.7272727272727273,0,2.158107165258778,-0.10185992071987501
65o,12.0,96.0,48.0,100.0,48.0,154.0,33.0,396.0,0.24242424242424243,0.6493506493506493,0.6233766233766234,0,2.4737598412726545,-0.2910624151769286
55o,6.0,48.0,25.0,100.0,25.0,76.0,0.0,0.0,48.0,1.3157894736842106,0.631578947368421,1,-2.7754051493211764,-4.916082029309892
54s,8.0,64.0,47.0,100.0,47.0,50.0,37.0,148.0,0.43243243243243246,2.0,1.28,2,1.4238851077206303,-1.289143745919995
53s,6.0,48.0,47.0,100.0,47.0,50.0,39.0,156.0,0.3076923076923077,2.0,0.96,2,1.6795251406966865,-1.4833275862130308
52s,4.0,32.0,47.0,100.0,47.0,50.0,41.0,164.0,0.1951219512195122,2.0,0.64,2,1.9351651736727429,-1.6775114265060667
