hand,suited,connectedness,pair,high_card,low_card,rank_diff,hand_type,ace,broadway,low_pair,medium_pair,high_pair,suited_broadway,connector,one_gap,two_gap,suited_connector,suited_one_gap,suited_two_gap,tot_win_perc,high_card_win_perc,one_pair_win_perc,two_pair_win_perc,three_of_a_kind_win_perc,straight_win_perc,flush_win_perc,full_house_win_perc,four_of_a_kind_win_perc,straight_flush_win_perc,BB_play10,BB_play2,BB_play3,BB_play4,BB_play5,BB_play6,BB_play7,BB_play8,BB_play9,D_play10,D_play3,D_play4,D_play5,D_play6,D_play7,D_play8,D_play9,SB_play10,SB_play2,SB_play3,SB_play4,SB_play5,SB_play6,SB_play7,SB_play8,SB_play9,pos3_play10,pos3_play4,pos3_play5,pos3_play6,pos3_play7,pos3_play8,pos3_play9,pos4_play10,pos4_play5,pos4_play6,pos4_play7,pos4_play8,pos4_play9,pos5_play10,pos5_play6,pos5_play7,pos5_play8,pos5_play9,pos6_play10,pos6_play7,pos6_play8,pos6_play9,pos7_play10,pos7_play8,pos7_play9,pos8_play10,pos8_play9,pos9_play10
K7s,1,6,0,11,5,6,suited,0,1,0,0,0,1,0,0,0,0,0,0,0.5780165446074298,0.0801687903433507,0.3905345095149864,0.2842394151874594,0.0596261085209062,0.0372973974919575,0.111124045872873,0.0346517555361373,0.0020926834514971,0.0002652940808319,-0.12,0.06,0.03,-0.04,0.01,-0.14,-0.07,-0.17,-0.07,0.0,0.15,0.1,0.1,-0.01,0.16,0.11,0.0,-0.07,0.06,-0.03,-0.02,-0.07,0.07,-0.11,-0.11,-0.11,-0.09,0.04,0.03,0.0,0.07,-0.04,-0.12,-0.03,0.06,0.16,0.11,-0.07,0.0,0.12,0.17,-0.02,0.08,0.0,-0.04,-0.03,-0.02,-0.07,-0.04,0.03,-0.04,-0.04,-0.02,0.03
K8o,0,5,0,11,6,5,offsuit,0,1,0,0,0,0,0,0,0,0,0,0,0.562177141893959,0.0944731409510765,0.4349349555240772,0.3035174243891656,0.0624519395969594,0.0365249525059022,0.0299754527403148,0.0357028672694499,0.0021470779041098,0.0002721891189442,-0.28,0.01,-0.08,-0.16,-0.19,-0.24,-0.25,-0.26,-0.27,-0.08,0.01,-0.03,-0.06,-0.08,0.01,-0.08,-0.05,-0.27,-0.07,-0.11,-0.17,-0.16,-0.26,-0.28,-0.23,-0.27,-0.13,-0.04,-0.08,-0.1,-0.11,-0.11,-0.13,-0.1,-0.04,-0.09,-0.07,-0.08,-0.09,-0.09,-0.14,-0.06,-0.07,-0.07,-0.06,-0.12,-0.07,-0.09,-0.08,-0.07,-0.09,-0.07,-0.06,-0.06
K8s,1,5,0,11,6,5,suited,0,1,0,0,0,1,0,0,0,0,0,0,0.5857331121129751,0.0831281985360406,0.396207969710595,0.2836200005673511,0.0588463758861369,0.0323855778414889,0.1093087779737419,0.0342199770781545,0.0020578995196964,0.0002252228867943,-0.12,0.1,-0.01,0.05,-0.06,0.04,-0.19,0.0,-0.11,0.01,0.13,0.07,0.09,0.06,0.16,0.08,0.04,-0.08,0.09,0.06,0.0,-0.07,-0.07,-0.06,-0.09,-0.13,-0.04,0.03,0.06,0.06,0.02,0.01,0.03,-0.02,0.08,0.0,0.05,0.07,-0.01,-0.03,-0.13,-0.04,0.02,0.06,0.0,0.13,0.0,-0.01,-0.09,0.07,-0.01,0.07,-0.02,0.0
K9o,0,4,0,11,7,4,offsuit,0,1,0,0,0,0,0,0,0,0,0,0,0.5803766754672562,0.0899267111919766,0.4306368581287316,0.2954789825454435,0.0605494481706165,0.0571181700078333,0.0293591915544081,0.0345961052449138,0.0020718790645666,0.0002626540915096,-0.22,0.08,-0.04,-0.09,-0.11,-0.23,-0.15,-0.25,-0.22,-0.05,0.14,0.04,-0.01,0.04,-0.04,-0.03,-0.07,-0.26,0.03,-0.07,-0.1,-0.14,-0.12,-0.1,-0.16,-0.19,-0.13,0.02,-0.05,-0.14,-0.12,-0.1,-0.11,-0.1,-0.01,-0.09,-0.09,-0.1,-0.09,-0.09,-0.05,-0.06,-0.05,-0.09,-0.1,-0.09,-0.05,-0.07,-0.08,-0.08,-0.07,-0.1,-0.06,-0.06
K9s,1,4,0,11,7,4,suited,0,1,0,0,0,1,0,0,0,0,0,0,0.6026571891979073,0.0793982252823925,0.3937732185815582,0.2771235121583682,0.0572590726784792,0.0510813251679596,0.105113629690842,0.033279208247975,0.0019930585246536,0.0009787496677713,-0.02,0.15,0.08,0.12,0.11,0.04,-0.08,-0.01,-0.04,0.02,0.26,0.27,0.23,0.09,0.18,0.12,0.07,-0.07,0.13,0.1,0.11,0.06,0.03,0.03,0.05,-0.03,-0.06,0.22,0.1,-0.01,0.06,0.06,0.07,0.04,0.15,0.25,0.12,-0.04,0.05,0.13,0.19,-0.09,0.0,0.07,0.03,0.07,0.09,0.03,0.02,0.19,0.1,0.07,0.1,0.09
KJo,0,2,0,11,9,2,offsuit,0,2,0,0,0,0,0,1,0,0,0,0,0.6081249655899678,0.081926382451125,0.4296826018442171,0.2877177265005694,0.0584088356291607,0.0782442027374275,0.0287333461021609,0.0331047576208984,0.0019661741808732,0.0002159729335674,-0.17,0.19,0.12,0.07,0.05,0.02,0.06,-0.08,-0.08,0.06,0.27,0.26,0.2,0.3,0.15,0.21,0.09,-0.08,0.15,0.08,0.07,0.03,-0.05,-0.03,-0.04,0.0,-0.03,0.19,0.13,0.04,-0.02,-0.03,0.03,-0.02,0.16,0.16,0.16,0.04,0.02,-0.03,0.21,0.11,0.1,0.09,-0.04,0.13,0.09,0.03,0.05,0.11,0.09,0.01,0.1,0.09
KJs,1,2,0,11,9,2,suited,0,2,0,0,0,2,0,1,0,0,1,0,0.6284761953896628,0.0726752959173529,0.3949606728430825,0.2712443007054047,0.0555036204510723,0.0705337772940521,0.099515249949507,0.03200695675972,0.0019010608300768,0.0016590652497313,0.12,0.25,0.3,0.26,0.28,0.37,0.3,0.13,0.17,0.4,0.39,0.4,0.41,0.27,0.35,0.43,0.44,0.17,0.25,0.24,0.31,0.3,0.24,0.17,0.31,0.17,0.13,0.35,0.33,0.19,0.27,0.15,0.19,0.27,0.38,0.51,0.22,0.27,0.1,0.32,0.34,0.36,0.42,0.2,0.23,0.52,0.36,0.24,0.24,0.4,0.35,0.29,0.28,0.29
KKo,0,0,1,11,11,0,pair,0,2,0,0,1,0,0,0,0,0,0,0,0.8257703262441572,0.0,0.3311090151010871,0.3955213822586568,0.1309252439483496,0.0090992591584256,0.0214623906506273,0.1016262131082533,0.0101518902130343,0.0001046055615657,1.73,0.95,1.32,1.49,1.72,1.88,1.64,1.53,1.62,2.09,1.35,1.67,1.72,1.81,1.84,1.78,2.06,1.9,0.98,1.37,1.52,1.73,1.28,1.77,1.74,1.69,1.72,1.55,1.64,1.63,1.58,1.84,1.7,1.7,1.65,1.53,1.61,1.54,1.66,1.59,1.75,1.71,1.73,1.73,1.9,1.8,1.67,1.75,2.01,1.8,1.96,1.97,1.95,1.94
KQo,0,1,0,11,10,1,offsuit,0,2,0,0,0,0,1,0,0,0,0,0,0.6169521209555511,0.082215783273227,0.435950622693566,0.2885602838547563,0.0581867839180584,0.0715579505942068,0.0287200082646854,0.0326973309315803,0.0019339501162366,0.0001772863536828,0.0,0.2,0.17,0.14,0.15,0.23,0.05,0.06,-0.01,0.17,0.36,0.33,0.27,0.25,0.28,0.21,0.22,0.03,0.17,0.2,0.23,0.16,0.11,0.08,0.07,0.06,0.06,0.26,0.21,0.11,0.16,0.06,0.16,0.15,0.25,0.2,0.18,0.1,0.11,0.08,0.26,0.07,0.13,0.15,0.09,0.25,0.13,0.13,0.13,0.16,0.13,0.14,0.2,0.15
KQs,1,1,0,11,10,1,suited,0,2,0,0,0,2,1,0,0,1,0,0,0.6367164418940464,0.0730268087650774,0.4013318683757472,0.2724573192224944,0.0553626341809273,0.0646394086561796,0.0980488040980861,0.0316602029916402,0.0018726931140507,0.0016002605957966,0.17,0.37,0.35,0.32,0.3,0.18,0.07,0.29,0.37,0.42,0.5,0.59,0.52,0.3,0.58,0.46,0.68,0.36,0.3,0.36,0.28,0.32,0.67,0.4,0.41,0.35,0.4,0.41,0.44,0.62,0.3,0.38,0.42,0.31,0.45,0.53,0.12,0.31,0.38,0.36,0.36,0.26,0.28,0.44,0.31,0.32,0.37,0.38,0.42,0.4,0.41,0.45,0.42,0.4
KTo,0,3,0,11,8,3,offsuit,0,2,0,0,0,0,0,0,1,0,0,0,0.5998753095744848,0.0818424507364058,0.4229188387067813,0.2869697005328273,0.0586883585497674,0.0850930262509079,0.0287332383925007,0.0335006237966401,0.0019979845161352,0.0002557785180339,-0.16,0.14,0.06,0.06,-0.03,-0.01,-0.05,-0.22,-0.1,0.07,0.2,0.14,0.13,0.15,0.02,0.01,0.04,-0.2,0.1,0.05,-0.01,-0.01,0.11,-0.03,-0.09,-0.07,-0.07,0.11,0.06,0.06,0.0,-0.08,-0.06,-0.09,0.06,0.07,-0.03,-0.04,0.01,-0.06,0.03,-0.03,-0.02,-0.02,-0.06,0.09,0.04,-0.06,-0.06,-0.01,-0.03,-0.04,0.0,0.0
KTs,1,3,0,11,8,3,suited,0,2,0,0,0,2,0,0,1,0,0,1,0.620788103116255,0.0725079058919392,0.3881687487784577,0.270124038409639,0.0556959123558108,0.0765560133920752,0.1009583147184422,0.0323416372183427,0.0019289518249745,0.0017184774103184,0.03,0.28,0.2,0.21,0.2,0.35,0.2,0.19,0.01,0.31,0.36,0.39,0.28,0.38,0.16,0.29,0.15,0.15,0.25,0.21,0.17,0.22,0.19,0.09,0.07,0.08,0.11,0.29,0.29,0.2,0.05,0.24,0.1,0.19,0.22,0.02,-0.05,0.22,0.06,0.15,0.25,0.17,0.23,0.37,0.1,0.27,0.21,0.1,0.27,0.23,0.14,0.06,0.28,0.09
