hand,connectedness,suited,pair,flop_equity,turn_equity,river_equity,equity_delta,high_card,low_card,hand_type,dominates_count,combos_dominated,blocks_count,combos_blocked,blocked_by_count,combos_blocked_by_count,dominated_by_count,combos_dominated_by_count,dom_ratio,block_ratio,dom_block_ratio,block_ratio_cat,dom_block_pc1,dom_block_pc2,BB_play10,BB_play2,BB_play3,BB_play4,BB_play5,BB_play6,BB_play7,BB_play8,BB_play9,D_play10,D_play3,D_play4,D_play5,D_play6,D_play7,D_play8,D_play9,SB_play10,SB_play2,SB_play3,SB_play4,SB_play5,SB_play6,SB_play7,SB_play8,SB_play9,pos3_play10,pos3_play4,pos3_play5,pos3_play6,pos3_play7,pos3_play8,pos3_play9,pos4_play10,pos4_play5,pos4_play6,pos4_play7,pos4_play8,pos4_play9,pos5_play10,pos5_play6,pos5_play7,pos5_play8,pos5_play9,pos6_play10,pos6_play7,pos6_play8,pos6_play9,pos7_play10,pos7_play8,pos7_play9,pos8_play10,pos8_play9,pos9_play10,ev_pc1,ev_pc2
K5s,8,1,0,0.59252,0.56763,0.5564,-0.03612000000000004,11,3,suited,26.0,208.0,48.0,101.0,48.0,51.0,19.0,76.0,2.736842105263158,1.9803921568627447,4.078431372549019,2,-0.8574217934170356,0.5320254165610296,-0.13,0.08,0.05,-0.1,-0.14,0.07,-0.21,-0.15,-0.16,0.01,0.09,0.04,-0.02,0.1,0.08,-0.05,-0.08,-0.21,0.02,-0.02,-0.1,-0.16,-0.06,-0.15,-0.24,-0.17,-0.06,0.0,0.01,-0.02,-0.17,-0.07,-0.13,-0.04,-0.05,0.04,0.06,0.02,-0.02,-0.06,0.23,-0.04,-0.08,-0.12,-0.01,-0.06,-0.01,-0.03,0.01,-0.04,-0.07,-0.08,-0.04,0.02,-1.050309164837059,0.8239884568235142
K6o,7,0,0,0.60013,0.56795,0.54424,-0.055890000000000106,11,4,offsuit,28.0,224.0,48.0,101.0,48.0,155.0,17.0,204.0,1.0980392156862746,0.6516129032258065,1.4451612903225806,0,-0.2100824673694573,1.0654879489878415,-0.32,-0.01,-0.13,-0.18,-0.25,-0.3,-0.23,-0.29,-0.31,-0.06,-0.02,-0.05,-0.05,-0.09,-0.05,-0.04,-0.05,-0.27,-0.11,-0.17,-0.18,-0.22,-0.19,-0.19,-0.22,-0.23,-0.1,-0.07,-0.11,-0.12,-0.16,-0.07,-0.13,-0.05,-0.07,-0.04,-0.09,-0.07,-0.06,-0.07,-0.1,-0.05,-0.06,-0.09,-0.06,-0.06,-0.06,-0.07,-0.07,-0.07,-0.06,-0.06,-0.04,-0.06,-2.798381770553173,-0.1962912019109541
K6s,7,1,0,0.60413,0.58159,0.56395,-0.040179999999999993,11,4,suited,28.0,224.0,48.0,101.0,48.0,51.0,17.0,68.0,3.294117647058824,1.9803921568627447,4.392156862745098,2,-1.129293118245038,0.6999031302056442,-0.17,0.05,-0.07,-0.02,-0.09,0.13,-0.11,-0.22,-0.22,-0.03,0.03,0.0,0.03,0.1,0.0,0.1,0.16,-0.17,0.05,-0.06,-0.1,-0.14,-0.13,-0.11,-0.07,-0.17,-0.11,0.07,-0.02,-0.14,-0.04,-0.06,0.02,0.03,-0.01,-0.07,-0.09,-0.1,-0.04,-0.03,0.07,0.02,-0.03,-0.08,-0.08,-0.02,-0.07,-0.06,-0.06,-0.07,-0.12,0.07,-0.1,0.01,-1.036025403367543,0.710725889814721
K7o,6,0,0,0.61194,0.57841,0.54966,-0.06228,11,5,offsuit,30.0,240.0,48.0,101.0,48.0,155.0,15.0,180.0,1.3333333333333333,0.6516129032258065,1.5483870967741935,0,-0.541092596543794,1.2258114113682417,-0.32,-0.02,-0.12,-0.16,-0.21,-0.25,-0.27,-0.27,-0.3,-0.04,0.01,-0.04,-0.04,-0.12,-0.03,-0.09,-0.08,-0.26,-0.1,-0.12,-0.16,-0.21,-0.24,-0.3,-0.23,-0.29,-0.13,-0.05,-0.08,-0.1,-0.1,-0.1,-0.13,-0.09,-0.07,-0.16,-0.08,-0.09,-0.08,-0.07,-0.1,-0.05,-0.06,-0.08,-0.07,-0.06,0.02,-0.06,-0.08,-0.05,-0.06,-0.06,-0.06,-0.05,-2.8216265730875283,0.0096181856545369
K7s,6,1,0,0.61367,0.59043,0.57483,-0.0388400000000001,11,5,suited,30.0,240.0,48.0,101.0,48.0,51.0,15.0,60.0,4.0,1.9803921568627447,4.705882352941177,2,-1.40116444307304,0.8677808438502587,-0.12,0.06,0.03,-0.04,0.01,-0.14,-0.07,-0.17,-0.07,0.0,0.15,0.1,0.1,-0.01,0.16,0.11,0.0,-0.07,0.06,-0.03,-0.02,-0.07,0.07,-0.11,-0.11,-0.11,-0.09,0.04,0.03,0.0,0.07,-0.04,-0.12,-0.03,0.06,0.16,0.11,-0.07,0.0,0.12,0.17,-0.02,0.08,0.0,-0.04,-0.03,-0.02,-0.07,-0.04,0.03,-0.04,-0.04,-0.02,0.03,0.0094142363505354,0.8201494191862512
K8o,5,0,0,0.61988,0.58947,0.561,-0.05887999999999993,11,6,offsuit,32.0,256.0,48.0,101.0,48.0,155.0,13.0,156.0,1.641025641025641,0.6516129032258065,1.6516129032258065,0,-0.8721027257181307,1.3861348737486412,-0.28,0.01,-0.08,-0.16,-0.19,-0.24,-0.25,-0.26,-0.27,-0.08,0.01,-0.03,-0.06,-0.08,0.01,-0.08,-0.05,-0.27,-0.07,-0.11,-0.17,-0.16,-0.26,-0.28,-0.23,-0.27,-0.13,-0.04,-0.08,-0.1,-0.11,-0.11,-0.13,-0.1,-0.04,-0.09,-0.07,-0.08,-0.09,-0.09,-0.14,-0.06,-0.07,-0.07,-0.06,-0.12,-0.07,-0.09,-0.08,-0.07,-0.09,-0.07,-0.06,-0.06,-2.758405814597924,0.3008272409893088
K8s,5,1,0,0.61894,0.59797,0.58093,-0.0380100000000001,11,6,suited,32.0,256.0,48.0,101.0,48.0,51.0,13.0,52.0,4.923076923076923,1.9803921568627447,5.019607843137255,2,-1.673035767901042,1.0356585574948731,-0.12,0.1,-0.01,0.05,-0.06,0.04,-0.19,0.0,-0.11,0.01,0.13,0.07,0.09,0.06,0.16,0.08,0.04,-0.08,0.09,0.06,0.0,-0.07,-0.07,-0.06,-0.09,-0.13,-0.04,0.03,0.06,0.06,0.02,0.01,0.03,-0.02,0.08,0.0,0.05,0.07,-0.01,-0.03,-0.13,-0.04,0.02,0.06,0.0,0.13,0.0,-0.01,-0.09,0.07,-0.01,0.07,-0.02,0.0,0.2128831969398437,0.9489591605432378
K9o,4,0,0,0.63305,0.60401,0.58165,-0.0514,11,7,offsuit,34.0,272.0,48.0,101.0,48.0,155.0,11.0,132.0,2.060606060606061,0.6516129032258065,1.7548387096774194,0,-1.2031128548924677,1.5464583361290414,-0.22,0.08,-0.04,-0.09,-0.11,-0.23,-0.15,-0.25,-0.22,-0.05,0.14,0.04,-0.01,0.04,-0.04,-0.03,-0.07,-0.26,0.03,-0.07,-0.1,-0.14,-0.12,-0.1,-0.16,-0.19,-0.13,0.02,-0.05,-0.14,-0.12,-0.1,-0.11,-0.1,-0.01,-0.09,-0.09,-0.1,-0.09,-0.09,-0.05,-0.06,-0.05,-0.09,-0.1,-0.09,-0.05,-0.07,-0.08,-0.08,-0.07,-0.1,-0.06,-0.06,-1.973913243302728,1.058641336259743
K9s,4,1,0,0.63304,0.61486,0.59744,-0.035600000000000076,11,7,suited,34.0,272.0,48.0,101.0,48.0,51.0,11.0,44.0,6.181818181818182,1.9803921568627447,5.333333333333333,2,-1.9449070927290444,1.203536271139488,-0.02,0.15,0.08,0.12,0.11,0.04,-0.08,-0.01,-0.04,0.02,0.26,0.27,0.23,0.09,0.18,0.12,0.07,-0.07,0.13,0.1,0.11,0.06,0.03,0.03,0.05,-0.03,-0.06,0.22,0.1,-0.01,0.06,0.06,0.07,0.04,0.15,0.25,0.12,-0.04,0.05,0.13,0.19,-0.09,0.0,0.07,0.03,0.07,0.09,0.03,0.02,0.19,0.1,0.07,0.1,0.09,1.8922852406950372,1.3676785862209615
KJo,2,0,0,0.65269,0.63027,0.60869,-0.04400000000000004,11,9,offsuit,38.0,304.0,48.0,101.0,48.0,155.0,7.0,84.0,3.619047619047619,0.6516129032258065,1.961290322580645,0,-1.8651331132411413,1.8671052608898409,-0.17,0.19,0.12,0.07,0.05,0.02,0.06,-0.08,-0.08,0.06,0.27,0.26,0.2,0.3,0.15,0.21,0.09,-0.08,0.15,0.08,0.07,0.03,-0.05,-0.03,-0.04,0.0,-0.03,0.19,0.13,0.04,-0.02,-0.03,0.03,-0.02,0.16,0.16,0.16,0.04,0.02,-0.03,0.21,0.11,0.1,0.09,-0.04,0.13,0.09,0.03,0.05,0.11,0.09,0.01,0.1,0.09,1.7882420933243837,1.4089660386424208
