hand1,hand2,hand1_equity,hand2_equity
AAo,22o,0.8222,0.1778
22o,AJo,0.5195000000000001,0.4805
22o,AJs,0.4946,0.5054
22o,AKo,0.5265,0.47350000000000003
22o,AKs,0.5011,0.4989
22o,AQo,0.523,0.47700000000000004
22o,AQs,0.4979,0.5021
22o,ATo,0.516,0.484
22o,ATs,0.4914,0.5085999999999999
22o,J2o,0.6676000000000001,0.33240000000000003
22o,J2s,0.6291,0.3709
22o,J3o,0.5337,0.46630000000000005
22o,J3s,0.5079,0.4921
22o,J4o,0.5302,0.4698
22o,J4s,0.5047,0.4953
22o,J5o,0.5266,0.47340000000000004
22o,J5s,0.5015,0.4985
22o,J6o,0.5256000000000001,0.4744
22o,J6s,0.5004,0.4996
22o,J7o,0.5124,0.4876
22o,J7s,0.48810000000000003,0.5119
22o,J8o,0.5049,0.4951
22o,J8s,0.48119999999999996,0.5188
22o,J9o,0.4963,0.5036999999999999
22o,J9s,0.4733,0.5267000000000001
JJo,22o,0.8187000000000001,0.1813
22o,JTo,0.48369999999999996,0.5163
22o,JTs,0.46159999999999995,0.5384
22o,K2o,0.6715000000000001,0.3285
22o,K2s,0.6325999999999999,0.3674
22o,K3o,0.5376,0.46240000000000003
22o,K3s,0.5114,0.4886
22o,K4o,0.534,0.466
22o,K4s,0.5081,0.4919
22o,K5o,0.5305,0.46950000000000003
22o,K5s,0.5049,0.4951
22o,K6o,0.5259,0.47409999999999997
22o,K6s,0.5007,0.4993
22o,K7o,0.5213,0.47869999999999996
22o,K7s,0.4963,0.5036999999999999
22o,K8o,0.5257999999999999,0.4742
22o,K8s,0.5004,0.4996
22o,K9o,0.5173,0.4827
22o,K9s,0.4926,0.5074000000000001
22o,KJo,0.5082,0.4918
22o,KJs,0.4842,0.5158
KKo,22o,0.8181,0.1819
22o,KQo,0.5118,0.4882
22o,KQs,0.4874,0.5126
22o,KTo,0.5047,0.4953
22o,KTs,0.48100000000000004,0.519
22o,Q2o,0.6695,0.33049999999999996
22o,Q2s,0.6308,0.36920000000000003
22o,Q3o,0.5357,0.4643
22o,Q3s,0.5096,0.4904
22o,Q4o,0.5321,0.4679
22o,Q4s,0.5064,0.4936
22o,Q5o,0.5285,0.4715
22o,Q5s,0.5032,0.4968
22o,Q6o,0.524,0.47600000000000003
22o,Q6s,0.4989,0.5011
22o,Q7o,0.5228,0.4772
22o,Q7s,0.49770000000000003,0.5023
22o,Q8o,0.5153,0.48469999999999996
22o,Q8s,0.49079999999999996,0.5092
22o,Q9o,0.5068,0.4932
22o,Q9s,0.4829,0.5171
22o,QJo,0.49770000000000003,0.5023
22o,QJs,0.47450000000000003,0.5255
QQo,22o,0.8184999999999999,0.1815
22o,QTo,0.49420000000000003,0.5058
22o,QTs,0.47130000000000005,0.5287
22o,T2o,0.6656,0.3344
22o,T2s,0.6274000000000001,0.3726
22o,T3o,0.5318,0.4682
22o,T3s,0.5062,0.4938
22o,T4o,0.5283,0.4717
22o,T4s,0.503,0.49700000000000005
22o,T5o,0.5282,0.4718
22o,T5s,0.503,0.49700000000000005
22o,T6o,0.5152,0.48479999999999995
22o,T6s,0.49090000000000006,0.5091
22o,T7o,0.502,0.498
22o,T7s,0.47859999999999997,0.5214
22o,T8o,0.49439999999999995,0.5056
22o,T8s,0.47159999999999996,0.5284
22o,T9o,0.4858,0.5142
22o,T9s,0.4636,0.5364
TTo,22o,0.8187000000000001,0.1813
32s,32o,0.5252,0.47479999999999994
33o,32o,0.892,0.10800000000000001
42o,32o,0.5318,0.4682
42s,32o,0.5562,0.44380000000000003
43o,32o,0.5477000000000001,0.4523
43s,32o,0.5689,0.4311
44o,32o,0.8742,0.1258
32o,52o,0.40149999999999997,0.5985
52s,32o,0.6175,0.3825
32o,53o,0.39159999999999995,0.6084
53s,32o,0.6247,0.3753
54o,32o,0.6054999999999999,0.3945
54s,32o,0.6253,0.3747
55o,32o,0.879,0.121
32o,62o,0.3713,0.6286999999999999
62s,32o,0.6461,0.3539
32o,63o,0.3586,0.6414
63s,32o,0.6559,0.34409999999999996
32o,64o,0.37520000000000003,0.6248
64s,32o,0.6428,0.35719999999999996
65o,32o,0.6335000000000001,0.3665
65s,32o,0.6507999999999999,0.3492
66o,32o,0.8653,0.13470000000000001
32o,72o,0.3481,0.6518999999999999
72s,32o,0.6683,0.3317
32o,73o,0.32270000000000004,0.6773
73s,32o,0.6898000000000001,0.3102
32o,74o,0.35850000000000004,0.6415000000000001
74s,32o,0.6581999999999999,0.3418
32o,75o,0.3529,0.6470999999999999
75s,32o,0.6633,0.3367
76o,32o,0.6559,0.34409999999999996
76s,32o,0.6720999999999999,0.32789999999999997
77o,32o,0.8602,0.1398
32o,82o,0.3234,0.6766
82s,32o,0.6915,0.3085
32o,83o,0.3156,0.6844
83s,32o,0.6967,0.30329999999999996
32o,84o,0.3546,0.6454000000000001
84s,32o,0.6617000000000001,0.3383
32o,85o,0.34950000000000003,0.6505
85s,32o,0.6663,0.3337
32o,86o,0.3431,0.6568999999999999
86s,32o,0.6729,0.3271
87o,32o,0.6747,0.32530000000000003
87s,32o,0.69,0.31
88o,32o,0.8588,0.1412
32o,92o,0.3085,0.6915
92s,32o,0.7056,0.2944
32o,93o,0.2981,0.7019
93s,32o,0.7132999999999999,0.2867
32o,94o,0.3504,0.6496
