hand1,hand2,hand1_equity,hand2_equity
72s,Q4o,0.39390000000000003,0.6061
72s,Q4s,0.3682,0.6318
72s,Q5o,0.39039999999999997,0.6096
72s,Q5s,0.365,0.635
72s,Q6o,0.3907,0.6093
Q6s,72s,0.6347,0.3653
72s,Q7o,0.2861,0.7139
72s,Q7s,0.2763,0.7237
72s,Q8o,0.3564,0.6436
Q8s,72s,0.6670999999999999,0.3329
72s,Q9o,0.3547,0.6453
Q9s,72s,0.6688,0.3312
72s,QJo,0.3514,0.6486
QJs,72s,0.6720999999999999,0.32789999999999997
QQo,72s,0.8409,0.1591
72s,QTo,0.35159999999999997,0.6484000000000001
QTs,72s,0.6718000000000001,0.3282
72s,T2o,0.3131,0.6869
72s,T2s,0.30219999999999997,0.6978
72s,T3o,0.3997,0.6003000000000001
72s,T3s,0.3737,0.6263000000000001
72s,T4o,0.3957,0.6043
72s,T4s,0.37020000000000003,0.6297999999999999
72s,T5o,0.3951,0.6049
72s,T5s,0.3697,0.6303
72s,T6o,0.38659999999999994,0.6134000000000001
72s,T6s,0.3616,0.6384000000000001
72s,T7o,0.2954,0.7045999999999999
T7s,72s,0.7143,0.2857
72s,T8o,0.34340000000000004,0.6566
T8s,72s,0.6790999999999999,0.3209
72s,T9o,0.3411,0.6589
T9s,72s,0.6812999999999999,0.3187
TTo,72s,0.8416,0.15839999999999999
73s,73o,0.5251,0.47490000000000004
73o,74o,0.46149999999999997,0.5385
74s,73o,0.5627,0.43729999999999997
73o,75o,0.426,0.574
75s,73o,0.5954999999999999,0.4045
76o,73o,0.6101,0.3899
76s,73o,0.6291,0.3709
77o,73o,0.9165000000000001,0.08349999999999999
82o,73o,0.5705,0.42950000000000005
82s,73o,0.5935,0.4065
83o,73o,0.6861,0.3139
83s,73o,0.6999,0.30010000000000003
84o,73o,0.6254,0.3746
84s,73o,0.6435,0.3565
85o,73o,0.6382,0.3618
85s,73o,0.6554000000000001,0.3446
86o,73o,0.6469,0.3531
86s,73o,0.6636,0.33640000000000003
87o,73o,0.7242000000000001,0.2758
87s,73o,0.7333,0.2667
88o,73o,0.8706,0.1294
92o,73o,0.5775,0.4225
92s,73o,0.6,0.4
93o,73o,0.7040000000000001,0.29600000000000004
93s,73o,0.7167,0.2833
94o,73o,0.623,0.377
94s,73o,0.6413,0.35869999999999996
95o,73o,0.6358,0.3642
95s,73o,0.6531,0.3469
96o,73o,0.6445000000000001,0.3555
96s,73o,0.6614,0.3386
97o,73o,0.7214,0.2786
97s,73o,0.731,0.26899999999999996
98o,73o,0.6876000000000001,0.3124
98s,73o,0.7015,0.2985
99o,73o,0.8687,0.1313
A2o,73o,0.5922999999999999,0.4077
A2s,73o,0.6143,0.3857
A3o,73o,0.7362000000000001,0.2638
A3s,73o,0.7482,0.2518
A4o,73o,0.639,0.361
A4s,73o,0.6565000000000001,0.3435
A5o,73o,0.6426000000000001,0.3574
A5s,73o,0.6598,0.34020000000000006
A6o,73o,0.6324000000000001,0.3676
A6s,73o,0.6502,0.34979999999999994
A7o,73o,0.754,0.24600000000000002
A7s,73o,0.7626999999999999,0.2373
A8o,73o,0.6693000000000001,0.3307
A8s,73o,0.6845,0.3155
A9o,73o,0.6659,0.33409999999999995
A9s,73o,0.6814,0.3186
AAo,73o,0.8644,0.1356
AJo,73o,0.6657,0.3343
AJs,73o,0.6815000000000001,0.3185
AKo,73o,0.6615000000000001,0.3385
AKs,73o,0.6778,0.3222
AQo,73o,0.6659,0.33409999999999995
AQs,73o,0.6819,0.3181
ATo,73o,0.6684,0.33159999999999995
ATs,73o,0.6839,0.3161
J2o,73o,0.5807,0.4193
J2s,73o,0.6033,0.3967
J3o,73o,0.72,0.28
J3s,73o,0.7323999999999999,0.2676
J4o,73o,0.6292,0.37079999999999996
J4s,73o,0.6473,0.3527
J5o,73o,0.6329,0.3671
J5s,73o,0.6506000000000001,0.3494
J6o,73o,0.6294,0.37060000000000004
J6s,73o,0.6474,0.35259999999999997
J7o,73o,0.7376,0.26239999999999997
J7s,73o,0.7468,0.2532
J8o,73o,0.6753,0.3247
J8s,73o,0.6901999999999999,0.3098
J9o,73o,0.677,0.32299999999999995
J9s,73o,0.6917,0.30829999999999996
JJo,73o,0.8645999999999999,0.1354
JTo,73o,0.6808,0.31920000000000004
JTs,73o,0.6954,0.3046
73o,K2o,0.4203,0.5797
K2s,73o,0.6025,0.3975
73o,K3o,0.2724,0.7276
K3s,73o,0.7401000000000001,0.25989999999999996
73o,K4o,0.37189999999999995,0.6281
K4s,73o,0.6465000000000001,0.35350000000000004
73o,K5o,0.3682,0.6318
K5s,73o,0.6496999999999999,0.3503
73o,K6o,0.3685,0.6315
K6s,73o,0.6494,0.3506
73o,K7o,0.2554,0.7445999999999999
K7s,73o,0.7539,0.24609999999999999
73o,K8o,0.3353,0.6647
K8s,73o,0.6805,0.3195
K9o,73o,0.6664,0.3336
K9s,73o,0.6819,0.3181
KJo,73o,0.6662,0.33380000000000004
KJs,73o,0.6820999999999999,0.3179
KKo,73o,0.8614,0.1386
KQo,73o,0.6665000000000001,0.3335
KQs,73o,0.6825,0.3175
KTo,73o,0.669,0.331
KTs,73o,0.6845,0.3155
Q2o,73o,0.5828,0.4172
Q2s,73o,0.6053000000000001,0.3947
Q3o,73o,0.7267,0.2733
Q3s,73o,0.7390000000000001,0.261
Q4o,73o,0.6312,0.3688
Q4s,73o,0.6493000000000001,0.3507
Q5o,73o,0.6349,0.3651
Q5s,73o,0.6526000000000001,0.34740000000000004
Q6o,73o,0.6346,0.3654
Q6s,73o,0.6523,0.3477
Q7o,73o,0.7411,0.2589
Q7s,73o,0.7504000000000001,0.24960000000000002
Q8o,73o,0.6695,0.33049999999999996
Q8s,73o,0.685,0.315
Q9o,73o,0.6712,0.32880000000000004
Q9s,73o,0.6865000000000001,0.3135
QJo,73o,0.6747,0.32530000000000003
QJs,73o,0.69,0.31
QQo,73o,0.8659,0.1341
QTo,73o,0.6744,0.3256
QTs,73o,0.6896,0.3104
73o,T2o,0.4194,0.5806
T2s,73o,0.603,0.397
73o,T3o,0.2859,0.7141
T3s,73o,0.7265999999999999,0.2734
73o,T4o,0.3709,0.6291
T4s,73o,0.647,0.353
73o,T5o,0.37020000000000003,0.6297999999999999
T5s,73o,0.6475,0.3525
73o,T6o,0.3615,0.6385000000000001
T6s,73o,0.6557999999999999,0.3442
73o,T7o,0.26839999999999997,0.7315999999999999
T7s,73o,0.7409,0.2591
T8o,73o,0.6827,0.3173
T8s,73o,0.6970000000000001,0.303
T9o,73o,0.6849,0.3151
T9s,73o,0.6990000000000001,0.301
TTo,73o,0.8665999999999999,0.1334
73s,74o,0.4903,0.5097
74s,73s,0.5342,0.4658
73s,75o,0.4573,0.5427000000000001
75s,73s,0.5646,0.4354
73s,76o,0.42369999999999997,0.5763
76s,73s,0.5958,0.4042
77o,73s,0.8643000000000001,0.13570000000000002
73s,82o,0.462,0.5379999999999999
82s,73s,0.5661999999999999,0.4338
73s,83o,0.35240000000000005,0.6476000000000001
73s,83s,0.3394,0.6606000000000001
73s,84o,0.41090000000000004,0.5891
84s,73s,0.615,0.385
73s,85o,0.3985,0.6015
85s,73s,0.6267,0.37329999999999997
73s,86o,0.39,0.61
86s,73s,0.6347999999999999,0.3652
73s,87o,0.3188,0.6812
87s,73s,0.6919,0.3081
88o,73s,0.8290000000000001,0.171
73s,92o,0.45549999999999996,0.5445
92s,73s,0.5722999999999999,0.4277
73s,93o,0.33549999999999996,0.6645
73s,93s,0.3234,0.6766
73s,94o,0.41350000000000003,0.5865
94s,73s,0.6126,0.3874
73s,95o,0.4012,0.5988
95s,73s,0.6242,0.37579999999999997
73s,96o,0.39270000000000005,0.6073
96s,73s,0.6323,0.3677
73s,97o,0.3211,0.6789000000000001
97s,73s,0.6901,0.3099
73s,98o,0.3514,0.6486
98s,73s,0.6713,0.3287
99o,73s,0.8270000000000001,0.17300000000000001
73s,A2o,0.4416,0.5584
A2s,73s,0.5859000000000001,0.41409999999999997
73s,A3o,0.3046,0.6954
A3s,73s,0.7067,0.2933
73s,A4o,0.39840000000000003,0.6015999999999999
A4s,73s,0.6272,0.3728
73s,A5o,0.39490000000000003,0.6051
A5s,73s,0.6303,0.3697
73s,A6o,0.40490000000000004,0.5951
A6s,73s,0.6209,0.3791
73s,A7o,0.2898,0.7101999999999999
A7s,73s,0.7206,0.27940000000000004
73s,A8o,0.3697,0.6303
A8s,73s,0.6543000000000001,0.3457
73s,A9o,0.3729,0.6271
A9s,73s,0.6512,0.3488
AAo,73s,0.8231,0.1769
73s,AJo,0.37310000000000004,0.6269
AJs,73s,0.6513,0.34869999999999995
73s,AKo,0.377,0.623
AKs,73s,0.6476999999999999,0.35229999999999995
73s,AQo,0.3729,0.6271
AQs,73s,0.6515000000000001,0.34850000000000003
73s,ATo,0.3704,0.6296
ATs,73s,0.6536,0.3464
73s,J2o,0.45270000000000005,0.5473
J2s,73s,0.5753,0.42469999999999997
73s,J3o,0.32030000000000003,0.6797
J3s,73s,0.6915,0.3085
73s,J4o,0.4078,0.5922
J4s,73s,0.6182,0.3818
73s,J5o,0.4043,0.5957
J5s,73s,0.6214,0.3786
73s,J6o,0.40759999999999996,0.5924
J6s,73s,0.6183,0.38170000000000004
73s,J7o,0.3057,0.6943
J7s,73s,0.7051999999999999,0.2948
73s,J8o,0.36369999999999997,0.6363
J8s,73s,0.6598999999999999,0.34009999999999996
73s,J9o,0.36200000000000004,0.638
J9s,73s,0.6615000000000001,0.3385
JJo,73s,0.8233,0.17670000000000002
73s,JTo,0.3583,0.6417
JTs,73s,0.665,0.335
73s,K2o,0.45380000000000004,0.5462
K2s,73s,0.5744,0.42560000000000003
73s,K3o,0.3129,0.6870999999999999
K3s,73s,0.6990000000000001,0.301
73s,K4o,0.4089,0.5911
K4s,73s,0.6174000000000001,0.3826
73s,K5o,0.4054,0.5946
K5s,73s,0.6204999999999999,0.3795
73s,K6o,0.4057,0.5943
K6s,73s,0.6202000000000001,0.37979999999999997
73s,K7o,0.2988,0.7012
K7s,73s,0.7121999999999999,0.2878
73s,K8o,0.3739,0.6261
K8s,73s,0.6504000000000001,0.3496
73s,K9o,0.3724,0.6275999999999999
K9s,73s,0.6518,0.3482
73s,KJo,0.3725,0.6275
KJs,73s,0.6518999999999999,0.3481
KKo,73s,0.8204,0.1796
73s,KQo,0.37229999999999996,0.6277
KQs,73s,0.6522,0.3478
73s,KTo,0.36979999999999996,0.6302
KTs,73s,0.6543000000000001,0.3457
73s,Q2o,0.4509,0.5490999999999999
Q2s,73s,0.5771000000000001,0.4229
73s,Q3o,0.314,0.6859999999999999
Q3s,73s,0.6977,0.3023
73s,Q4o,0.406,0.594
Q4s,73s,0.62,0.38
73s,Q5o,0.4025,0.5975
73s,Q5s,0.3768,0.6232
73s,Q6o,0.4028,0.5972
Q6s,73s,0.6229,0.3771
73s,Q7o,0.30219999999999997,0.6978
Q7s,73s,0.7087,0.2913
73s,Q8o,0.36939999999999995,0.6306
Q8s,73s,0.6547,0.3453
73s,Q9o,0.3678,0.6322
Q9s,73s,0.6562,0.34380000000000005
73s,QJo,0.36450000000000005,0.6355
QJs,73s,0.6594,0.3406
QQo,73s,0.8245,0.17550000000000002
73s,QTo,0.36469999999999997,0.6353
QTs,73s,0.6592,0.3408
73s,T2o,0.45270000000000005,0.5473
T2s,73s,0.5751,0.4249
73s,T3o,0.3259,0.6740999999999999
T3s,73s,0.6859000000000001,0.3141
73s,T4o,0.4078,0.5922
T4s,73s,0.618,0.382
73s,T5o,0.4072,0.5928
T5s,73s,0.6185,0.3815
73s,T6o,0.3987,0.6013000000000001
73s,T6s,0.3734,0.6265999999999999
73s,T7o,0.3114,0.6886
T7s,73s,0.6995,0.3005
73s,T8o,0.3564,0.6436
T8s,73s,0.6667000000000001,0.3333
73s,T9o,0.3542,0.6457999999999999
T9s,73s,0.6687000000000001,0.33130000000000004
TTo,73s,0.8251000000000001,0.17489999999999997
74s,74o,0.525,0.475
74o,75o,0.4359,0.5640999999999999
75s,74o,0.5858,0.4142
76o,74o,0.6045,0.39549999999999996
76s,74o,0.6234000000000001,0.3766
77o,74o,0.8979,0.10210000000000001
82o,74o,0.5553,0.4447
82s,74o,0.5789,0.4211
83o,74o,0.5624,0.4376
83s,74o,0.5849,0.41509999999999997
84o,74o,0.6849,0.3151
84s,74o,0.6981999999999999,0.3018
85o,74o,0.6248,0.37520000000000003
85s,74o,0.6425,0.3575
86o,74o,0.6335000000000001,0.3665
86s,74o,0.6507999999999999,0.3492
87o,74o,0.7038,0.2962
87s,74o,0.7139,0.2861
88o,74o,0.8622,0.1378
92o,74o,0.5638000000000001,0.4362
92s,74o,0.5872999999999999,0.4127
93o,74o,0.5729,0.42710000000000004
93s,74o,0.5953,0.4047
94o,74o,0.6877,0.3123
94s,74o,0.7017,0.2983
95o,74o,0.623,0.377
95s,74o,0.6406999999999999,0.3593
96o,74o,0.6317,0.36829999999999996
96s,74o,0.649,0.35100000000000003
97o,74o,0.7203,0.2797
97s,74o,0.73,0.27
98o,74o,0.6748000000000001,0.32520000000000004
98s,74o,0.6890999999999999,0.3109
99o,74o,0.8515,0.1485
A2o,74o,0.5789,0.4211
A2s,74o,0.6015999999999999,0.39840000000000003
A3o,74o,0.588,0.41200000000000003
A3s,74o,0.6097,0.39030000000000004
A4o,74o,0.7223,0.2777
A4s,74o,0.7351000000000001,0.26489999999999997
A5o,74o,0.6297,0.3703
A5s,74o,0.6473,0.3527
A6o,74o,0.6195,0.38049999999999995
A6s,74o,0.6377,0.36229999999999996
A7o,74o,0.7367,0.2633
A7s,74o,0.7464,0.2536
A8o,74o,0.6542,0.3458
A8s,74o,0.6698999999999999,0.3301
A9o,74o,0.6518999999999999,0.3481
A9s,74o,0.6683,0.3317
AAo,74o,0.8468000000000001,0.1532
AJo,74o,0.6516,0.34840000000000004
AJs,74o,0.6681999999999999,0.3318
AKo,74o,0.6474,0.35259999999999997
AKs,74o,0.6645,0.33549999999999996
AQo,74o,0.6518999999999999,0.3481
AQs,74o,0.6686,0.33140000000000003
ATo,74o,0.6543000000000001,0.3457
ATs,74o,0.6706,0.32939999999999997
J2o,74o,0.5672,0.4328
J2s,74o,0.5906,0.4094
J3o,74o,0.5764,0.4236
J3s,74o,0.5987,0.40130000000000005
J4o,74o,0.7061,0.2939
J4s,74o,0.7193999999999999,0.28059999999999996
J5o,74o,0.62,0.38
J5s,74o,0.6381,0.3619
J6o,74o,0.6164999999999999,0.3835
J6s,74o,0.6349,0.3651
J7o,74o,0.7203,0.2797
J7s,74o,0.7306,0.26940000000000003
J8o,74o,0.6602,0.3398
J8s,74o,0.6756,0.32439999999999997
J9o,74o,0.6636,0.33640000000000003
J9s,74o,0.6792,0.3208
JJo,74o,0.847,0.153
JTo,74o,0.6668000000000001,0.3332
JTs,74o,0.6820999999999999,0.3179
74o,K2o,0.4338,0.5661999999999999
K2s,74o,0.5898,0.4102
74o,K3o,0.42469999999999997,0.5753
K3s,74o,0.5978,0.4022
74o,K4o,0.2862,0.7138
K4s,74o,0.7271,0.2729
74o,K5o,0.3811,0.6189
K5s,74o,0.6373,0.3627
74o,K6o,0.3814,0.6186
K6s,74o,0.637,0.363
74o,K7o,0.2727,0.7273000000000001
K7s,74o,0.7376999999999999,0.2623
74o,K8o,0.3504,0.6496
K8s,74o,0.6659,0.33409999999999995
K9o,74o,0.6524,0.34759999999999996
K9s,74o,0.6689,0.3311
KJo,74o,0.6520999999999999,0.3479
KJs,74o,0.6688,0.3312
KKo,74o,0.8438,0.1562
KQo,74o,0.6524,0.34759999999999996
KQs,74o,0.6692,0.3308
KTo,74o,0.6548999999999999,0.34509999999999996
KTs,74o,0.6712,0.32880000000000004
Q2o,74o,0.5693,0.4307
Q2s,74o,0.5926,0.40740000000000004
Q3o,74o,0.5784,0.4216
Q3s,74o,0.6007,0.3993
Q4o,74o,0.7128,0.2872
Q4s,74o,0.726,0.27399999999999997
Q5o,74o,0.622,0.37799999999999995
Q5s,74o,0.6401,0.3599
Q6o,74o,0.6215999999999999,0.3784
Q6s,74o,0.6397999999999999,0.3602
Q7o,74o,0.7238,0.2762
Q7s,74o,0.7342,0.2658
Q8o,74o,0.6544,0.3456
Q8s,74o,0.6704000000000001,0.3296
Q9o,74o,0.6578,0.3422
Q9s,74o,0.674,0.326
QJo,74o,0.6606000000000001,0.3394
QJs,74o,0.6767,0.3233
QQo,74o,0.8482999999999999,0.1517
QTo,74o,0.6603,0.3397
QTs,74o,0.6764,0.3236
74o,T2o,0.4329,0.5671
T2s,74o,0.5903,0.4097
74o,T3o,0.4238,0.5761999999999999
T3s,74o,0.5984,0.40159999999999996
74o,T4o,0.2998,0.7001999999999999
T4s,74o,0.7136,0.2864
74o,T5o,0.3831,0.6169
T5s,74o,0.635,0.365
74o,T6o,0.37439999999999996,0.6256
T6s,74o,0.6433,0.3567
74o,T7o,0.28559999999999997,0.7143999999999999
T7s,74o,0.7248,0.2752
T8o,74o,0.6676000000000001,0.33240000000000003
T8s,74o,0.6823999999999999,0.3176
T9o,74o,0.6715000000000001,0.3285
T9s,74o,0.6865000000000001,0.3135
TTo,74o,0.8490000000000001,0.151
74s,75o,0.4661,0.5339
75s,74s,0.5561,0.4439
74s,76o,0.4285,0.5715
76s,74s,0.5909,0.40909999999999996
77o,74s,0.8471,0.15289999999999998
74s,82o,0.47619999999999996,0.5238
74s,82s,0.4476,0.5524
74s,83o,0.46950000000000003,0.5305
74s,83s,0.44170000000000004,0.5583
74s,84o,0.353,0.647
74s,84s,0.34049999999999997,0.6595
74s,85o,0.41100000000000003,0.589
85s,74s,0.6145,0.38549999999999995
74s,86o,0.4025,0.5975
86s,74s,0.6225999999999999,0.3774
74s,87o,0.3373,0.6627
87s,74s,0.6743000000000001,0.3257
88o,74s,0.821,0.179
74s,92o,0.4682,0.5318
74s,92s,0.43979999999999997,0.5602
74s,93o,0.4595,0.5405
74s,93s,0.4318,0.5682
74s,94o,0.3505,0.6495000000000001
74s,94s,0.3373,0.6627
74s,95o,0.4131,0.5869
74s,95s,0.3875,0.6125
74s,96o,0.4047,0.5953
96s,74s,0.6206,0.37939999999999996
74s,97o,0.3222,0.6778
97s,74s,0.6890999999999999,0.3109
74s,98o,0.36340000000000006,0.6365999999999999
98s,74s,0.6596,0.3404
99o,74s,0.8111,0.1889
74s,A2o,0.45399999999999996,0.546
A2s,74s,0.5739,0.4261
74s,A3o,0.44530000000000003,0.5547
A3s,74s,0.5819,0.4181
74s,A4o,0.31739999999999996,0.6826000000000001
A4s,74s,0.6948000000000001,0.30519999999999997
74s,A5o,0.40700000000000003,0.593
A5s,74s,0.6186,0.3814
74s,A6o,0.4169,0.5831000000000001
A6s,74s,0.6092,0.3908
74s,A7o,0.3059,0.6940999999999999
A7s,74s,0.7056,0.2944
74s,A8o,0.38380000000000003,0.6162
A8s,74s,0.6405,0.35950000000000004
74s,A9o,0.3859,0.6141
A9s,74s,0.6389,0.3611
AAo,74s,0.8067,0.19329999999999997
74s,AJo,0.3861,0.6139
AJs,74s,0.6386999999999999,0.3613
74s,AKo,0.3901,0.6099
AKs,74s,0.6351,0.3649
74s,AQo,0.386,0.614
AQs,74s,0.639,0.361
74s,ATo,0.3835,0.6164999999999999
ATs,74s,0.6411,0.3589
74s,J2o,0.46520000000000006,0.5347999999999999
74s,J2s,0.43670000000000003,0.5633
74s,J3o,0.45649999999999996,0.5435
74s,J3s,0.4288,0.5711999999999999
74s,J4o,0.3331,0.6668999999999999
74s,J4s,0.3204,0.6796
74s,J5o,0.4163,0.5837
74s,J5s,0.39030000000000004,0.6097
74s,J6o,0.41960000000000003,0.5804
74s,J6s,0.3935,0.6065
74s,J7o,0.32170000000000004,0.6783
74s,J7s,0.3097,0.6903
74s,J8o,0.3778,0.6222
J8s,74s,0.6461,0.3539
74s,J9o,0.37450000000000006,0.6255
J9s,74s,0.6496,0.3504
JJo,74s,0.8068000000000001,0.1932
74s,JTo,0.3714,0.6286
JTs,74s,0.6524,0.34759999999999996
74s,K2o,0.46619999999999995,0.5338
74s,K2s,0.4376,0.5624
74s,K3o,0.4576,0.5424
74s,K3s,0.42969999999999997,0.5703
74s,K4o,0.3256,0.6744
74s,K4s,0.3129,0.6870999999999999
74s,K5o,0.4174,0.5826
74s,K5s,0.3912,0.6088
74s,K6o,0.4177,0.5822999999999999
74s,K6s,0.39149999999999996,0.6085
74s,K7o,0.31489999999999996,0.6851
74s,K7s,0.3028,0.6972
74s,K8o,0.3881,0.6119
74s,K8s,0.36340000000000006,0.6365999999999999
74s,K9o,0.38530000000000003,0.6147
74s,K9s,0.3605,0.6395000000000001
74s,KJo,0.38549999999999995,0.6145
KJs,74s,0.6393,0.3607
KKo,74s,0.8039000000000001,0.1961
74s,KQo,0.38539999999999996,0.6146
KQs,74s,0.6396000000000001,0.3604
74s,KTo,0.3829,0.6171
KTs,74s,0.6417,0.3583
74s,Q2o,0.46340000000000003,0.5366
74s,Q2s,0.4349,0.5650999999999999
74s,Q3o,0.4547,0.5453
74s,Q3s,0.42700000000000005,0.573
74s,Q4o,0.3267,0.6733
74s,Q4s,0.31420000000000003,0.6858
74s,Q5o,0.4146,0.5854
74s,Q5s,0.3885,0.6114999999999999
74s,Q6o,0.41490000000000005,0.5851
74s,Q6s,0.38880000000000003,0.6112
74s,Q7o,0.31829999999999997,0.6817
74s,Q7s,0.3062,0.6938
74s,Q8o,0.3836,0.6164000000000001
74s,Q8s,0.3591,0.6409
74s,Q9o,0.38020000000000004,0.6198
Q9s,74s,0.6443000000000001,0.3557
74s,QJo,0.3776,0.6224000000000001
QJs,74s,0.6469,0.3531
QQo,74s,0.8079999999999999,0.192
74s,QTo,0.37770000000000004,0.6223
QTs,74s,0.6466,0.35340000000000005
74s,T2o,0.46520000000000006,0.5347999999999999
74s,T2s,0.43689999999999996,0.5631
74s,T3o,0.45649999999999996,0.5435
74s,T3s,0.429,0.5710000000000001
74s,T4o,0.3387,0.6613
74s,T4s,0.326,0.674
74s,T5o,0.4193,0.5807
74s,T5s,0.3932,0.6068
74s,T6o,0.4108,0.5892000000000001
74s,T6s,0.3851,0.6149
74s,T7o,0.3274,0.6726000000000001
T7s,74s,0.6847,0.3153
74s,T8o,0.3705,0.6295000000000001
T8s,74s,0.6529,0.3471
74s,T9o,0.3667,0.6333
T9s,74s,0.6568,0.3432
TTo,74s,0.8087000000000001,0.1913
75s,75o,0.525,0.475
76o,75o,0.5963,0.40369999999999995
76s,75o,0.6152000000000001,0.3848
77o,75o,0.8793000000000001,0.1207
82o,75o,0.5402,0.4598
82s,75o,0.5643,0.4357
83o,75o,0.5473,0.45270000000000005
83s,75o,0.5703,0.42969999999999997
84o,75o,0.562,0.43799999999999994
84s,75o,0.584,0.41600000000000004
85o,75o,0.6837000000000001,0.31629999999999997
85s,75o,0.6966,0.3034
86o,75o,0.6204,0.3796
86s,75o,0.6381,0.3619
87o,75o,0.6958,0.3042
87s,75o,0.7059000000000001,0.29410000000000003
88o,75o,0.8565,0.1435
92o,75o,0.5487,0.45130000000000003
92s,75o,0.5727,0.42729999999999996
93o,75o,0.5579,0.4421
93s,75o,0.5807,0.4193
94o,75o,0.5622,0.4378
94s,75o,0.5842,0.4158
95o,75o,0.6865000000000001,0.3135
95s,75o,0.7001000000000001,0.2999
96o,75o,0.6184000000000001,0.38159999999999994
96s,75o,0.6362,0.3638
97o,75o,0.6999,0.30010000000000003
97s,75o,0.7106,0.2894
98o,75o,0.6611,0.3389
98s,75o,0.6759000000000001,0.32409999999999994
99o,75o,0.8431000000000001,0.15689999999999998
A2o,75o,0.5654,0.4346
A2s,75o,0.589,0.41100000000000003
A3o,75o,0.5746,0.4254
A3s,75o,0.5971,0.4029
A4o,75o,0.5814,0.41859999999999997
A4s,75o,0.603,0.397
A5o,75o,0.7084,0.2916
A5s,75o,0.7222,0.2778
A6o,75o,0.6065999999999999,0.3934
A6s,75o,0.6253,0.3747
A7o,75o,0.7193,0.2807
A7s,75o,0.7302,0.2698
A8o,75o,0.6395000000000001,0.3605
A8s,75o,0.6557,0.3443
A9o,75o,0.6368,0.3632
A9s,75o,0.6537999999999999,0.34619999999999995
AAo,75o,0.8293,0.1707
AJo,75o,0.6376,0.3624
AJs,75o,0.655,0.345
AKo,75o,0.6334000000000001,0.3666
AKs,75o,0.6513,0.34869999999999995
AQo,75o,0.6379,0.36210000000000003
AQs,75o,0.6554000000000001,0.3446
ATo,75o,0.6409999999999999,0.359
ATs,75o,0.6581999999999999,0.3418
J2o,75o,0.5538000000000001,0.4462
J2s,75o,0.578,0.42200000000000004
J3o,75o,0.563,0.43700000000000006
J3s,75o,0.586,0.414
J4o,75o,0.5698,0.4302
J4s,75o,0.5920000000000001,0.408
J5o,75o,0.6922,0.3078
J5s,75o,0.7064,0.29359999999999997
J6o,75o,0.6037,0.39630000000000004
J6s,75o,0.6225,0.3775
J7o,75o,0.7031999999999999,0.2968
J7s,75o,0.7145999999999999,0.2854
J8o,75o,0.6455,0.35450000000000004
J8s,75o,0.6614,0.3386
J9o,75o,0.6485,0.3515
J9s,75o,0.6647,0.3353
JJo,75o,0.8294,0.17059999999999997
JTo,75o,0.6564,0.3436
JTs,75o,0.6725,0.3275
75o,K2o,0.4473,0.5527000000000001
K2s,75o,0.5771999999999999,0.4228
75o,K3o,0.43810000000000004,0.5619
K3s,75o,0.5852,0.41479999999999995
75o,K4o,0.4313,0.5687
K4s,75o,0.5911,0.4089
75o,K5o,0.30010000000000003,0.6999
K5s,75o,0.7141,0.2859
75o,K6o,0.3943,0.6057
K6s,75o,0.6246,0.3754
75o,K7o,0.29,0.71
K7s,75o,0.7215,0.2785
75o,K8o,0.3651,0.6349
K8s,75o,0.6517000000000001,0.3483
K9o,75o,0.6373,0.3627
K9s,75o,0.6544,0.3456
KJo,75o,0.6381,0.3619
KJs,75o,0.6556000000000001,0.3444
KKo,75o,0.8262999999999999,0.17370000000000002
KQo,75o,0.6384000000000001,0.3616
KQs,75o,0.6559999999999999,0.344
KTo,75o,0.6415000000000001,0.35850000000000004
KTs,75o,0.6587999999999999,0.34119999999999995
Q2o,75o,0.5558,0.44420000000000004
Q2s,75o,0.58,0.42
Q3o,75o,0.565,0.435
Q3s,75o,0.5881000000000001,0.4119
Q4o,75o,0.5718,0.4282
Q4s,75o,0.594,0.406
Q5o,75o,0.6989,0.3011
Q5s,75o,0.713,0.287
Q6o,75o,0.6088,0.3912
Q6s,75o,0.6274000000000001,0.3726
Q7o,75o,0.7066,0.2934
Q7s,75o,0.7181000000000001,0.28190000000000004
Q8o,75o,0.6396999999999999,0.3603
Q8s,75o,0.6562,0.34380000000000005
Q9o,75o,0.6426999999999999,0.35729999999999995
Q9s,75o,0.6595,0.34049999999999997
QJo,75o,0.6466,0.35340000000000005
QJs,75o,0.6636,0.33640000000000003
QQo,75o,0.8306999999999999,0.1693
QTo,75o,0.65,0.35
QTs,75o,0.6667000000000001,0.3333
75o,T2o,0.446,0.5539999999999999
T2s,75o,0.5782,0.4218
75o,T3o,0.4368,0.5632
T3s,75o,0.5861999999999999,0.4138
75o,T4o,0.43,0.57
T4s,75o,0.5921,0.4079
75o,T5o,0.3154,0.6846
T5s,75o,0.6990999999999999,0.3009
75o,T6o,0.3868,0.6132
T6s,75o,0.6314,0.3686
75o,T7o,0.2867,0.7132999999999999
T7s,75o,0.7238,0.2762
T8o,75o,0.6552,0.3448
T8s,75o,0.6705,0.3295
T9o,75o,0.6591,0.34090000000000004
T9s,75o,0.6746,0.32539999999999997
TTo,75o,0.8323999999999999,0.16760000000000003
75s,76o,0.43579999999999997,0.5642
76s,75s,0.5837,0.4163
77o,75s,0.83,0.17
75s,82o,0.4903,0.5097
75s,82s,0.46140000000000003,0.5386
75s,83o,0.4836,0.5164
